Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Adam Lallana,Southampton,ENG,Midfielder,0.9,0.1
Andy Irving,West Ham,SCO,Midfielder,6.5,0.1
Séamus Coleman,Everton,IRL,Defender,0.7,0.1
Ricardo Pereira,Leicester City,POR,Defender,4.1,0.1
Nathaniel Clyne,Crystal Palace,ENG,Defender,1.0,0.1
Sven Botman,Newcastle Utd,NED,Defender,52.7,0.1
Jannik Vestergaard,Leicester City,DEN,Defender,2.0,0.1
Bobby De Cordova-Reid,Leicester City,JAM,Forward,2.7,0.1
William Smallbone,Southampton,IRL,Midfielder,8.4,0.1
Tom Cairney,Fulham,SCO,Midfielder,1.5,0.1
Michael Kayode,Brentford,ITA,Defender,25.0,0.1
Jonny Evans,Manchester Utd,NIR,Defender,1.1,0.1
Craig Dawson,Wolves,ENG,Defender,1.5,0.1
Chiedozie Ogbene,Ipswich Town,IRL,Forward,9.8,0.1
Harry Toffolo,Nott'ham Forest,ENG,Defender,2.2,0.1
Ferdi Kadioglu,Brighton,TUR,Defender,37.4,0.1
Aaron Cresswell,West Ham,ENG,Defender,0.8,0.1
Armel Bella Kotchap,Southampton,GER,Defender,15.4,0.1
Ben Chilwell,Crystal Palace,ENG,Defender,20.4,0.1
Conor Townsend,Ipswich Town,ENG,Defender,1.2,0.1
Ben Mee,Brentford,ENG,Defender,0.9,0.1
Charlie Taylor,Southampton,ENG,Defender,2.1,0.1
